Date_Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
10/03/2004 18.00.00,0.35347002904576824,1.180381039050626,-1.6545084478701002,0.22454503284379376,0.3810643646174881,-0.3652952361393291,0.8843095590948508,0.0608008609522359,0.6997137122794833,0.5868482909735451,-0.5476144034670927,0.02898220610223277,-0.6237116308996866
10/03/2004 19.00.00,-0.057233712147820075,0.8688521347405617,-2.1760416554637456,-0.10781300221065013,0.04174217894896485,-0.6720477960481344,1.3472387791828593,-0.38254655199875126,0.31656236583164604,-0.1367198992956772,-0.5815579929635911,-0.03887979249538095,-0.7032178115576807
10/03/2004 20.00.00,0.07966753491670946,1.3727959505362537,-2.5054310497334162,-0.1609902878193612,-0.017918864685061216,-0.5357133249775543,1.2138523937337722,0.08191264252133053,0.30503901706629755,0.11261778789168991,-0.739961410613918,0.3173957001420922,-0.6424189675250971
10/03/2004 21.00.00,0.07966753491670946,1.2536819577118175,-2.615227514489973,-0.1344016450150058,0.015640472359078447,-0.3360807066242048,1.0255422025115313,0.25080689507408754,0.3885832956150741,0.4279566275698307,-0.8417921791034139,0.6567056931301619,-0.5525745218899026
10/03/2004 22.00.00,-0.33103620627687885,0.7772259864140721,-3.013239699232492,-0.4933483228738051,-0.40198683307910404,-0.5357133249775543,1.4688557776805564,0.12413620565951977,0.11778459962938455,0.20061932454605477,-0.8191631194390816,0.6340850269309574,-0.5474053894013023
10/03/2004 23.00.00,-0.6048387004059378,0.4336279301897366,-3.191658954461897,-0.7326461081130047,-0.7226649426119941,-0.7402150315834244,1.9867088035417186,-0.29809942572237275,-0.16165660793031636,-0.19294310326929923,-0.8191631194390816,0.6114643607317528,-0.557251356046255
11/03/2004 00.00.00,-0.6048387004059378,0.37865224119384294,-3.287730861123884,-0.8788836435369601,-0.9463938562395919,-0.8716804144014838,2.477099926516304,-0.6992232755351707,-0.3345068394105437,-0.7209523231954884,-0.8078485896069152,0.4757403635365246,-0.6175579017465912
11/03/2004 01.00.00,-0.7417399474704671,0.1541681777939437,-3.287730861123884,-0.9187666077434934,-1.0135125303278711,-0.8716804144014838,2.441791765662134,-0.7203350571042653,-0.3345068394105437,-0.7282857845833521,-0.8757357685999125,0.6567056931301619,-0.5931891343003329
11/03/2004 02.00.00,-0.810190571002732,-0.0382467336916842,-3.3838027677858715,-1.051709821765271,-1.2484278896368488,-0.9544549146943361,2.936106017620516,-1.0581235622097793,-0.49871455931675973,-0.9971793688050227,-0.8757357685999125,0.6397401934807586,-0.6064811892710191
11/03/2004 03.00.00,-1.015542441599526,-0.42307655666294003,-3.4524255582587196,-1.1314757501783375,-1.427411020538927,-0.9544549146943361,3.4304202695788977,-1.0581235622097793,-0.6168288841615818,-1.2880733371902842,-0.9209938879285773,0.6680160262297644,-0.6387267300332397
11/03/2004 04.00.00,-1.015542441599526,-0.4184952492466155,-3.5210483487315676,-1.1846530357870484,-1.5541907382612326,-1.0713130327548332,3.873733844747923,-1.6070298830062397,-0.7263006974323925,-1.4249646164304075,-0.9436229475929098,0.6849815258791678,-0.6515264866716783
11/03/2004 05.00.00,-0.9470918180672613,-0.16652334134876948,-3.603395697298985,-1.211241678591404,-1.6101229666681318,-1.0956584740174369,4.266046743127592,-1.7337005724208074,-0.7695132553024492,-1.4811878204040294,-0.8417921791034139,0.44180936423771794,-0.6758952541179366
11/03/2004 06.00.00,-0.9470918180672613,-0.2306616451773121,-3.493599232542428,-1.1447700715805151,-1.4572415423559402,-1.0080148854720639,3.5598835260441883,-1.311464941038915,-0.6571606048403015,-1.3589634639396337,-0.8983648282642449,0.54925752868394,-0.6790951932775465
11/03/2004 07.00.00,-0.6732893239382024,0.1908186371245395,-3.315179977313023,-0.9320609291456711,-1.0321566064635044,-0.696393237310738,2.5869475380626112,-0.5936643676896975,-0.317221816262521,-0.7282857845833521,-0.9323084177607436,0.6340850269309574,-0.6633416466456218
11/03/2004 08.00.00,-0.057233712147820075,1.0566857388098652,-2.834820444003087,-0.29393350184113876,-0.16334265854299976,-0.3263425301191634,1.1981598777985853,0.03968907938314127,0.19556720379548687,0.18106342751175147,-0.8644212387677462,0.5096713628353317,-0.6655569891407362
11/03/2004 09.00.00,0.07966753491670946,1.1391492723037056,-2.5191556078279858,-0.09451868080847242,0.060386255084597995,-0.5454515014825957,0.9745415257221745,-0.19254051787689963,0.38570245842373696,0.00017137994444590878,-0.8983648282642449,0.690636692428969,-0.5958967751276949
11/03/2004 10.00.00,-0.26258558274461424,0.5985549971774177,-2.656401188773682,-0.5199369656781606,-0.4355461701232437,-0.628226001775448,1.5198564544699134,-0.2558758625841835,-0.008972236789448848,-0.4105024577759235,-0.8644212387677462,0.5662230283333433,-0.6301115092189061
11/03/2004 11.00.00,-0.39948682980914363,0.3511643966958961,-3.1230361639890485,-0.6927631439064714,-0.6779191598864746,-0.7110005020683001,1.9514006426875485,-0.38254655199875126,-0.25096256086176716,-0.8725105252113391,-0.8983648282642449,0.5379471955843375,-0.6793413424436703
11/03/2004 12.00.00,-0.33103620627687885,0.6122989194263911,-2.875994118286796,-0.666174501102116,-0.633173377160955,-0.6671787077956136,1.845476160125038,-0.3192112072914674,-0.13860991039961937,-0.8896219351163545,-1.011510126585907,1.041257018516641,-0.5318979919355015
11/03/2004 13.00.00,-0.12568433568008483,0.8413642902426148,-2.8485450020976564,-0.3869937516563831,-0.27893593058392524,-0.46267700118974353,1.3001612313772992,0.03968907938314127,0.2531839476222293,-0.5596161726624862,-1.1472844845719012,1.584153007297553,-0.42310006050877264
